Sample,source,community,days,filtered
SRR9953974,bittleston_M05,bittleston_M05_filtered,57,filtered
SRR9953975,bittleston_M05,bittleston_M05_unfiltered,54,unfiltered
SRR9953976,bittleston_M09,bittleston_M09_unfiltered,36,unfiltered
SRR9953977,bittleston_M01,bittleston_M01_filtered,60,filtered
SRR9953978,bittleston_M01,bittleston_M01_unfiltered,57,unfiltered
SRR9953979,bittleston_M01,bittleston_M01_filtered,51,filtered
SRR9953980,bittleston_M01,bittleston_M01_unfiltered,48,unfiltered
SRR9953981,bittleston_M01,bittleston_M01_filtered,48,filtered
SRR9953982,bittleston_M01,bittleston_M01_unfiltered,45,unfiltered
SRR9953983,bittleston_M01,bittleston_M01_filtered,57,filtered
SRR9953984,bittleston_M01,bittleston_M01_unfiltered,54,unfiltered
SRR9953985,bittleston_M01,bittleston_M01_filtered,54,filtered
SRR9953986,bittleston_M01,bittleston_M01_unfiltered,51,unfiltered
SRR9953987,bittleston_M08,bittleston_M08_unfiltered,57,unfiltered
SRR9953988,bittleston_M08,bittleston_M08_filtered,57,filtered
SRR9953989,bittleston_M08,bittleston_M08_unfiltered,54,unfiltered
SRR9953990,bittleston_M08,bittleston_M08_filtered,54,filtered
SRR9953991,bittleston_M08,bittleston_M08_unfiltered,51,unfiltered
SRR9953992,bittleston_M08,bittleston_M08_filtered,51,filtered
SRR9953993,bittleston_M08,bittleston_M08_unfiltered,48,unfiltered
SRR9953994,bittleston_M08,bittleston_M08_filtered,48,filtered
SRR9953995,bittleston_M08,bittleston_M08_unfiltered,45,unfiltered
SRR9953996,bittleston_M08,bittleston_M08_filtered,45,filtered
SRR9953997,bittleston_M10,bittleston_M10_filtered,33,filtered
SRR9953998,bittleston_M05,bittleston_M05_unfiltered,30,unfiltered
SRR9953999,bittleston_M10,bittleston_M10_unfiltered,63,unfiltered
SRR9954000,bittleston_M10,bittleston_M10_filtered,63,filtered
SRR9954001,bittleston_M10,bittleston_M10_unfiltered,54,unfiltered
SRR9954002,bittleston_M10,bittleston_M10_filtered,54,filtered
SRR9954003,bittleston_M10,bittleston_M10_unfiltered,51,unfiltered
SRR9954004,bittleston_M10,bittleston_M10_filtered,51,filtered
SRR9954005,bittleston_M07,bittleston_M07_unfiltered,60,unfiltered
SRR9954006,bittleston_M10,bittleston_M10_filtered,60,filtered
SRR9954007,bittleston_M10,bittleston_M10_unfiltered,57,unfiltered
SRR9954008,bittleston_M10,bittleston_M10_filtered,57,filtered
SRR9954009,bittleston_M09,bittleston_M09_unfiltered,9,unfiltered
SRR9954010,bittleston_M09,bittleston_M09_filtered,24,filtered
SRR9954012,bittleston_M08,bittleston_M08_filtered,33,filtered
SRR9954014,bittleston_M06,bittleston_M06_filtered,48,filtered
SRR9954015,bittleston_M06,bittleston_M06_unfiltered,45,unfiltered
SRR9954016,bittleston_M06,bittleston_M06_filtered,45,filtered
SRR9954017,bittleston_M06,bittleston_M06_unfiltered,42,unfiltered
SRR9954019,bittleston_M06,bittleston_M06_unfiltered,39,unfiltered
SRR9954021,bittleston_M04,bittleston_M04_filtered,57,filtered
SRR9954022,bittleston_M04,bittleston_M04_unfiltered,57,unfiltered
SRR9954025,bittleston_M04,bittleston_M04_filtered,51,filtered
SRR9954027,bittleston_M06,bittleston_M06_unfiltered,51,unfiltered
SRR9954029,bittleston_M02,bittleston_M02_filtered,27,filtered
SRR9954031,bittleston_M02,bittleston_M02_filtered,30,filtered
SRR9954033,bittleston_M02,bittleston_M02_filtered,33,filtered
SRR9954035,bittleston_M02,bittleston_M02_filtered,36,filtered
SRR9954036,bittleston_M02,bittleston_M02_unfiltered,36,unfiltered
SRR9954039,bittleston_M07,bittleston_M07_unfiltered,45,unfiltered
SRR9954041,bittleston_M09,bittleston_M09_filtered,6,filtered
SRR9954043,bittleston_M09,bittleston_M09_filtered,3,filtered
SRR9954044,bittleston_M08,bittleston_M08_filtered,63,filtered
SRR9954047,bittleston_M01,bittleston_M01_unfiltered,6,unfiltered
SRR9954049,bittleston_M01,bittleston_M01_unfiltered,12,unfiltered
SRR9954050,bittleston_M09,bittleston_M09_unfiltered,6,unfiltered
SRR9954051,bittleston_M09,bittleston_M09_filtered,9,filtered
SRR9954054,bittleston_M03,bittleston_M03_unfiltered,54,unfiltered
SRR9954056,bittleston_M03,bittleston_M03_unfiltered,51,unfiltered
SRR9954058,bittleston_M03,bittleston_M03_unfiltered,60,unfiltered
SRR9954060,bittleston_M03,bittleston_M03_unfiltered,57,unfiltered
