Sample,study,media,source,days
SRR9954005,bittleston,Cricket,bittleston_M07,60
SRR9954007,bittleston,Cricket,bittleston_M10,57
SRR9954009,bittleston,Cricket,bittleston_M09,9
SRR9954015,bittleston,Cricket,bittleston_M06,45
SRR9954017,bittleston,Cricket,bittleston_M06,42
SRR9954019,bittleston,Cricket,bittleston_M06,39
SRR9954022,bittleston,Cricket,bittleston_M04,57
SRR9954027,bittleston,Cricket,bittleston_M06,51
SRR9954036,bittleston,Cricket,bittleston_M02,36
SRR9954039,bittleston,Cricket,bittleston_M07,45
SRR9954047,bittleston,Cricket,bittleston_M01,6
SRR9954049,bittleston,Cricket,bittleston_M01,12
SRR9954050,bittleston,Cricket,bittleston_M09,6
SRR9954054,bittleston,Cricket,bittleston_M03,54
SRR9954056,bittleston,Cricket,bittleston_M03,51
SRR9954058,bittleston,Cricket,bittleston_M03,60
SRR9954060,bittleston,Cricket,bittleston_M03,57
SRR9954066,bittleston,Cricket,bittleston_M06,36
SRR9954068,bittleston,Cricket,bittleston_M06,33
SRR9954070,bittleston,Cricket,bittleston_M06,30
SRR9954072,bittleston,Cricket,bittleston_M06,27
SRR9954074,bittleston,Cricket,bittleston_M06,24
SRR9954085,bittleston,Cricket,bittleston_M01,42
SRR9954087,bittleston,Cricket,bittleston_M03,21
SRR9953691,bittleston,Cricket,bittleston_M01,3
SRR9953696,bittleston,Cricket,bittleston_M01,9
SRR9953700,bittleston,Cricket,bittleston_M07,21
SRR9953705,bittleston,Cricket,bittleston_M05,9
SRR9953709,bittleston,Cricket,bittleston_M05,3
SRR9953711,bittleston,Cricket,bittleston_M05,6
SRR9953717,bittleston,Cricket,bittleston_M10,33
SRR9953728,bittleston,Cricket,bittleston_M02,24
SRR9953730,bittleston,Cricket,bittleston_M02,18
SRR9953732,bittleston,Cricket,bittleston_M02,21
SRR9953734,bittleston,Cricket,bittleston_M02,12
SRR9953739,bittleston,Cricket,bittleston_M09,15
SRR9953746,bittleston,Cricket,bittleston_M07,54
SRR9953748,bittleston,Cricket,bittleston_M07,57
SRR9953752,bittleston,Cricket,bittleston_M07,51
SRR9953754,bittleston,Cricket,bittleston_M04,3
SRR9953766,bittleston,Cricket,bittleston_M09,63
SRR9953771,bittleston,Cricket,bittleston_M09,54
SRR9953773,bittleston,Cricket,bittleston_M06,21
SRR9953781,bittleston,Cricket,bittleston_M06,9
SRR9953783,bittleston,Cricket,bittleston_M06,12
SRR9953785,bittleston,Cricket,bittleston_M04,24
SRR9953787,bittleston,Cricket,bittleston_M04,27
SRR9953789,bittleston,Cricket,bittleston_M04,18
SRR9953791,bittleston,Cricket,bittleston_M04,21
SRR9953797,bittleston,Cricket,bittleston_M01,18
SRR9953799,bittleston,Cricket,bittleston_M01,21
SRR9953801,bittleston,Cricket,bittleston_M01,24
SRR9953803,bittleston,Cricket,bittleston_M01,27
SRR9953810,bittleston,Cricket,bittleston_M08,21
SRR9953812,bittleston,Cricket,bittleston_M08,24
SRR9953826,bittleston,Cricket,bittleston_M07,30
SRR9953828,bittleston,Cricket,bittleston_M10,27
SRR9953830,bittleston,Cricket,bittleston_M10,30
SRR9953832,bittleston,Cricket,bittleston_M10,21
SRR9953834,bittleston,Cricket,bittleston_M10,24
SRR9953850,bittleston,Cricket,bittleston_M07,9
SRR9953852,bittleston,Cricket,bittleston_M07,12
SRR9953854,bittleston,Cricket,bittleston_M07,15
SRR9953855,bittleston,Cricket,bittleston_M03,24
SRR9953861,bittleston,Cricket,bittleston_M05,63
SRR9953865,bittleston,Cricket,bittleston_M05,57
SRR9953867,bittleston,Cricket,bittleston_M05,60
SRR9953870,bittleston,Cricket,bittleston_M05,36
SRR9953872,bittleston,Cricket,bittleston_M05,33
SRR9953884,bittleston,Cricket,bittleston_M01,63
SRR9953886,bittleston,Cricket,bittleston_M01,60
SRR9953889,bittleston,Cricket,bittleston_M08,30
SRR9953899,bittleston,Cricket,bittleston_M07,33
SRR9953901,bittleston,Cricket,bittleston_M07,42
SRR9953903,bittleston,Cricket,bittleston_M07,39
SRR9953905,bittleston,Cricket,bittleston_M08,42
